Date,Price,Open,High,Low,Vol.,Change %
07/11/2010,9724.81 ,"9,699.79","9,885.37","9,659.86",677.98K,1.03%
31/10/2010,9625.99 ,"9,166.85","9,680.68","9,123.62",534.62K,4.60%
24/10/2010,9202.45 ,"9,424.44","9,460.70","9,179.15",649.27K,-2.38%
17/10/2010,9426.71 ,"9,517.68","9,575.14","9,316.97",601.70K,-0.77%
10/10/2010,9500.25 ,"9,648.59","9,650.20","9,387.73",599.49K,-0.92%
03/10/2010,9588.88 ,"9,410.92","9,716.92","9,332.19",908.30K,1.96%
26/09/2010,9404.23 ,"9,557.37","9,613.47","9,358.62",663.68K,-0.71%
19/09/2010,9471.67 ,"9,700.88","9,704.25","9,415.96",364.96K,-1.60%
12/09/2010,9626.09 ,"9,325.64","9,643.28","9,199.08",678.95K,4.19%
05/09/2010,9239.17 ,"9,199.99","9,311.02","8,997.63",594.26K,1.37%
29/08/2010,9114.13 ,"9,141.45","9,280.70","8,796.45",577.57K,1.37%
22/08/2010,8991.06 ,"9,147.24","9,171.42","8,807.41",571.32K,-2.05%
15/08/2010,9179.38 ,"9,145.22","9,362.68","9,084.24",539.14K,-0.80%
08/08/2010,9253.46 ,"9,535.51","9,667.04","9,065.94",570.63K,-4.03%
01/08/2010,9642.12 ,"9,574.64","9,750.88","9,474.67",634.40K,1.10%
25/07/2010,9537.30 ,"9,520.73","9,760.31","9,487.65",683.65K,1.13%
18/07/2010,9430.96 ,"9,267.24","9,474.11","9,176.12",694.73K,0.24%
11/07/2010,9408.36 ,"9,540.47","9,807.36","9,392.21",716.49K,-1.85%
04/07/2010,9585.32 ,"9,230.00","9,610.59","9,091.70",602.26K,4.15%
27/06/2010,9203.71 ,"9,758.91","9,762.23","9,147.68",570.45K,-5.48%
20/06/2010,9737.48 ,"10,109.27","10,251.90","9,697.87",564.74K,-2.58%
13/06/2010,9995.02 ,"9,824.93","10,109.86","9,819.95",515.26K,2.99%
06/06/2010,9705.25 ,"9,705.36","9,764.73","9,378.23",758.41K,-1.98%
30/05/2010,9901.19 ,"9,735.47","9,962.42","9,560.16",653.03K,1.42%
23/05/2010,9762.98 ,"9,754.99","9,824.85","9,395.29",857.53K,-0.22%
16/05/2010,9784.54 ,"10,329.37","10,336.53","9,696.63",862.92K,-6.48%
09/05/2010,10462.51 ,"10,399.05","10,643.28","10,345.19",915.85K,0.94%
02/05/2010,10364.59 ,"10,847.90","10,847.90","10,257.32",411.48K,-6.27%
25/04/2010,11057.40 ,"11,039.59","11,213.45","10,882.40",613.94K,1.31%
18/04/2010,10914.46 ,"10,929.64","11,093.30","10,865.92",696.66K,-1.69%
11/04/2010,11102.18 ,"11,300.79","11,351.55","11,084.72",710.03K,-0.91%
